bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Monopoly: Dragon Ball Super,2020,,,,"id,name,url,num_games,score,game,images",2,6,,,,,8,,60,120,,mGBzR68m8Z,,,,,,,,,,,,,,05sYpgsuq9,,,,,
,Masmorra: Dungeons of Arcadia - Promo Dice Set,2016,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,5,,,,,13,,20,45,v4SfYtS2Lr,"R0bGq4cAl4,U3zhCQH7Et,T8JEFYwoqy,XM2FYZmBHH",,,,,,,,6,3.3333333333333335,,,,,06J5nkYAvF,,,,,
,Monopoly: Despicable Me,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,"N0TkEGfEsF,7rV11PKqME",,,,,,,,,,,,,,,074t93iJ4c,,,,,
,Elixir,1997,,,,"id,name,url,num_games,score,game,images",3,8,,,,,10,,60,60,eX8uuNlQkQ,,,,,,,,,6,2.6666666666666665,,,,,09Y0F9mVyk,,,,,
,TANKS: The Modern Age - West German Dice Set,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,0A3bimrjQA,,,,,
,Wingspan: Upgrade Kit (105 pcs),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0ByWxzPxzQ,,,,,
,Vindication: Leaders & Alliances,2019,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,5,,,,,13,,45,150,v4SfYtS2Lr,,,,,,,,,8,3.875,,,,,0CsxOpAzfC,,,,,
,Savage Realms Citadel,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,0D2sLN32td,,,,,
,Tiny Epic Kingdoms: Character Meeple - Valkyrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ECa2NSkDe,,,,,
,Tiny Epic Dinosaurs: Playmat,2020,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0H2mG3ICFb,,,,,
,"Borodino: Battle of the Moskova, 1812",,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0HG3Y333ex,,,,,
,PRO 100+ Deck Box: Rick and Morty V2,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,Sod2YBWMKi,,,,,,,,,,,,,,,0LFnEW2lyo,,,,,
,Monster Scenery: Metropolis,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,0MRlaHveq9,,,,,
,Warhammer Quest: Shadows Over Hammerhal,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0NJbx1DT9k,,,,,
,Axis & Allies,,,,,"id,name,url,num_games,score,game,images",2,2,,,,,12,,90,90,,,,,,,,,,80,2.9000000000000004,,,,,0Z20rVZ9GQ,,,,,
,All Things Zombie,2009,,,,"id,name,url,num_games,score,game,images",1,6,,,,,12,,40,40,FmGV9rVu1c,"oeg6wN9Eoc,R0bGq4cAl4",,,,,,,,3,2.6666666666666665,,,,,0Z28loAuhV,,,,,
,7 Wonders: Playmat,2014,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0asMCHUmJS,,,,,
,Foot / Movement Bits,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0ielGz3zha,,,,,
,Dungeon Master's Token Set (D&D 4E),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,2Gu62aKdma,,,,,,,,,,,,,,,0mvw7f20wS,,,,,
,Amazon Warriors: 3D Printable Miniatures STL files,,,,,,,,,,,,,,,,"rrvd68LjOR,FC6ElKI9tk",,,,,,,,,,,,,,,0rbDLbTyII,,,,,
,Survive a Nightmare,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,0rwVHofXaA,,,,,
,Star Wars: The Card Game - Join Us or Die Force Pack,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,"eX8uuNlQkQ,Sod2YBWMKi",,,,,,,,,1,4.0,,,,,0tx9qn8GmO,,,,,
,Infinity Gauntlet: A Love Letter Game,2020,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,6,,,,,10,,15,15,,,,,,,,,,9,4.194444444444445,,,,,0tz48Be8VY,,,,,
,Doomtown: Reloaded – Faith and Fear,2015,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,0yiagKPqjq,,,,,
,The Dangerous Book for Boys Card Game,2008,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",1,,,,,,,,,,eX8uuNlQkQ,,,,,,,,,,,,,,,12ABELNHVe,,,,,
,Card Sleeves: Mayday 65 x 100mm Blue Backed,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,14e8supEjK,,,,,
,Wings of Glory: World War 2 - Supermarine Spitfire Mk.I,2017,,,,"name,id,url,num_games,score,game,images",2,12,,,,,10,,30,60,v4SfYtS2Lr,,,,,,,,,,,,,,,14j6eEwr6j,,,,,
,Bestiary Vol #3 - 3D Printable Models,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,17YZUSL8oO,,,,,
,Guess Who? Mix 'n Mash,2010,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,4,,,,,8,,30,30,,GsNGxZFNCK,,,,,,,,,,,,,,1EtFsVMBJE,,,,,
,Card Sleeves: KMC Hyper Mat Mini - Green,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,1F5UIr0aeI,,,,,
,Overlord: A Boss Monster Adventure,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,1FX45DaTph,,,,,
,Zombie Grandma - Character Meeple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1Hf7nhMho8,,,,,
,Card Sleeves: Ultra PRO Soft Sleeves / Penny Sleeves,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,1IHJdiOI5X,,,,,
,Triology,1994,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,8,,60,60,,lA3KUtVFCy,,,,,,,,1,4.0,,,,,1P7DepAvnZ,,,,,
,Pathfinder Adventure Card Game: Wrath of the Righteous Character Add-On Deck,,,,,"name,id,url,num_games,score,game,images",1,6,,,,,13,,90,120,"eX8uuNlQkQ,v4SfYtS2Lr",,,,,,,,,1,5.0,,,,,1PAvAq3ZPc,,,,,
,Wood/Lumber Bits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1QQUemmD7P,,,,,
,Polyhedral Dice (Set of 7): Metal Rainbow with Blue Enamel,,,,,,,,,,,,,,,,mavSOM8vjH,,,,,,,,,,,,,,,1XdEt6YbJ5,,,,,
,Star Wars: The Card Game - Galactic Ambitions Expansion,2016,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,2,,,,,10,,30,60,"eX8uuNlQkQ,v4SfYtS2Lr,Sod2YBWMKi",,,,,,,,,,,,,,,1YAFbZ2TKp,,,,,
,Android: Netrunner - Order and Chaos Expansion,2015,,,,"id,name,url,num_games,score,game,images",2,2,,,,,,,,,v4SfYtS2Lr,,,,,,,,,5,4.4,,,,,1cWjSAmFfn,,,,,
,Zombicide: Black Plague - Extra Tiles Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1h6FntPbdu,,,,,
,"Warhammer 40,000: Conquest - The Threat Beyond War Pack",2015,,,,"id,name,url,num_games,score,game,images",2,2,,,,,14,,30,60,,,,,,,,,,1,4.0,,,,,1lsP8TXR5W,,,,,
,What's It Gonna Take?,2011,,,,"name,id,url,num_games,score,game,images",4,99,,,,,13,,30,,,JYYdBW6UCE,,,,,,,,1,1.0,,,,,1oQ87hnXny,,,,,
,Final Fantasy Trading Card Game: Opus VII Pre-Release Kit,2018,,,,"name,id,url,num_games,score,game,images",2,2,,,,,13,,20,30,v4SfYtS2Lr,,,,,,,,,,,,,,,1peesWdmbG,,,,,
,Polyhedral Dice (Set of 7): 25mm Titan Dice - Nyx - Smoke Color with Gold Numbers,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,mavSOM8vjH,,,,,,,,,,,,,,,1qkofrOR9R,,,,,
,Electronic Dream Phone,1991,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",1,4,,,,,9,,20,20,,mGBzR68m8Z,,,,,,,,3,2.6666666666666665,,,,,1wbZv35r8b,,,,,
,Maximum Apocalypse RPG,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,1xrztuVBZF,,,,,
,Star Wars: Imperial Assault – Rebel Troopers Ally Pack,2015,,,,"id,name,url,num_games,score,game,images",2,5,,,,,14,,120,240,,,,,,,,,,3,3.6666666666666665,,,,,1y3VoQ5MhV,,,,,
,Dispatcher - Character Meeple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1yC5oGWLhA,,,,,
,Pokemon: Sun & Moon Lost Thunder Elite Trainer Box with Dividers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22cse82ID8,,,,,
,Whats It to Ya? Card Game,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,eX8uuNlQkQ,,,,,,,,,,,,,,,2AHlaVpbxj,,,,,
