bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,*Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Star,,,Q4544980,*Star
,.hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.hack,,,Q159851,.hack
4550,1000 Blank White Cards,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000_Blank_White_Cards,,,Q164873,1000_Blank_White_Cards
,100 mexicanos dijeron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100_mexicanos_dijeron,,,,100_mexicanos_dijeron
,1313 Dead End Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313_Dead_End_Drive,,,Q4549021,1313_Dead_End_Drive
,13 Dead End Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Dead_End_Drive,,,Q17258,13_Dead_End_Drive
,13th Age,,,"Jonathan Tweet,Rob Heinsoo,ジョナサン・トゥイート,ロブ・ハインソー",,Pelgrane Press,,,,,,,,,,,,,,,,,,,,,,,,,,,13th_Age,,,,13th_Age
,15 puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_puzzle,,,Q191024,15_puzzle
,1776 (boardgame),,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1776_(boardgame),,,Q4553148,1776_(boardgame)
,1776 (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776_(game),,,,1776_(game)
,1829 (board game),,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,,1829_(board_game),,,Q4554288,1829_(board_game)
,1830: The Game of Railroads and Robber Barons,,,,,,3,,,,,,12,,,,,,,,,,,,,,,,,,,,1830:_The_Game_of_Railroads_and_Robber_Barons,,,Q201274,1830:_The_Game_of_Railroads_and_Robber_Barons
,1869 (video game),,,,,Max Design,,,,,,,,,,,,,,,,,,,,,,,,,,,1869_(video_game),,,Q202810,1869_(video_game)
,18XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18XX,,,Q204454,18XX
,1914 (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914_(game),,,Q4559794,1914_(game)
,2000 A.D. (chess variant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000_A.D._(chess_variant),,,Q4597105,2000_A.D._(chess_variant)
,221B Baker Street (board game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221B_Baker_Street_(board_game),,,Q4631211,221B_Baker_Street_(board_game)
,2300 AD,1986,,"Lester W. Smith,Timothy Brown (game designer),Frank Chadwick,Marc Miller (game designer),Timothy Brown (concepteur de jeu),Marc Miller,マーク・ミラー",,"Game Designers' Workshop,ゲームデザイナーズ・ワークショップ",,,,,,,,,,,,,,,,,,,,,,,,,,,2300_AD,,,Q4631459,2300_AD
,24 Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24_Game,,,Q4631842,24_Game
22999,25 Words or Less,,,,,Winning Moves,,,,,,,,,,,,,,,,,,,,,,,,,,,25_Words_or_Less,,,Q4632184,25_Words_or_Less
,3-2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-2-5,,,Q4634103,3-2-5
,3-5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-5-8,,,Q3656785,3-5-8
,3-D Tic-Tac-Toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-D_Tic-Tac-Toe,,,,3-D_Tic-Tac-Toe
,304 (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304_(card_game),,,Q3534741,304_(card_game)
,30 Seconds (game),,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,30_Seconds_(game),,,Q4634529,30_Seconds_(game)
,3D&T,1994,,Marcelo Cassaro,,"Editora JBC,JBC出版社",,,,,,,,,,,,,,,,,,,,,,,,,,,3D&T,,,Q4636255,3D&T
,400 (card game),,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,400_(card_game),,,Q4637279,400_(card_game)
,4 Pics 1 Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4_Pics_1_Word,,,,4_Pics_1_Word
,500 (card game),,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,500_(card_game),,,Q4639730,500_(card_game)
,52 Pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52_Pickup,,,,52_Pickup
,61st NHK Cup (shogi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61st_NHK_Cup_(shogi),,,,61st_NHK_Cup_(shogi)
,62nd NHK Cup (shogi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62nd_NHK_Cup_(shogi),,,,62nd_NHK_Cup_(shogi)
,63rd NHK Cup (shogi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63rd_NHK_Cup_(shogi),,,,63rd_NHK_Cup_(shogi)
